City,State,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2011_yoy,2012_yoy,2013_yoy,2014_yoy,2015_yoy,2016_yoy,2017_yoy,2018_yoy,2019_yoy,2020_yoy,2021_yoy,2022_yoy,2023_yoy,2024_yoy
Asheville,NC,83459.0,84457.0,85321.0,86355.0,87837.0,89374.0,91123.0,91748.0,92630.0,92870.0,94353.0,94180.0,93910.0,95235.0,94992.0,0.0119579673851831,0.010230057899286,0.0121189390654117,0.0171617161716171,0.0174983207532133,0.0195694497281088,0.006858861099832,0.0096132885730479,0.002590953254885,0.0159685581996338,-0.0018335400040274,-0.0028668507114036,0.014109253540624,-0.0025515829264451
Atlanta,GA,429410.0,437812.0,449016.0,453990.0,461154.0,468303.0,479174.0,491670.0,498183.0,506811.0,499998.0,492892.0,500249.0,513184.0,520070.0,0.0195663817796511,0.0255908928946671,0.0110775562563472,0.0157800832617458,0.0155024135104542,0.0232136031586387,0.0260782095856619,0.0132466898529501,0.0173189370171202,-0.0134428810740098,-0.0142120568482273,0.0149261907273804,0.0258571231526699,0.0134181891875038
Aurora,CO,326055.0,332730.0,339261.0,345613.0,352660.0,360098.0,363277.0,367574.0,374572.0,379289.0,386804.0,390589.0,394128.0,397573.0,403130.0,0.0204720062566131,0.0196285276350193,0.0187230480367622,0.0203898580203869,0.0210911359382975,0.0088281523363084,0.0118284394552916,0.0190383432995804,0.0125930395224416,0.019813387680634,0.0097853176285664,0.0090606750318109,0.0087408151666463,0.0139773073121162
Austin,TX,806164.0,828459.0,854482.0,875003.0,901170.0,921114.0,939447.0,951553.0,962469.0,978908.0,965893.0,969940.0,979214.0,989583.0,993588.0,0.0276556631156935,0.0314113311582106,0.0240157194651262,0.029905040325576,0.0221312294017776,0.0199030738866198,0.0128863043897101,0.0114717729858452,0.0170800306295579,-0.0132954271494359,0.0041899050930071,0.0095614161700723,0.0105891051394281,0.0040471592579904
Avondale,AZ,76232.0,77279.0,78718.0,79745.0,80726.0,81924.0,83288.0,84742.0,85715.0,87931.0,89566.0,90479.0,91624.0,94036.0,96609.0,0.0137343897575821,0.0186208413669949,0.0130465713051652,0.012301711706063,0.014840324059163,0.0166495776573409,0.0174574968783017,0.0114819097967949,0.0258531178906842,0.0185941249388725,0.0101936002500949,0.012654870190873,0.0263249803544922,0.0273618614147773
Baltimore,MD,620915.0,620410.0,622895.0,622391.0,623587.0,622522.0,616226.0,610481.0,602443.0,593490.0,583189.0,576575.0,570663.0,567517.0,568271.0,-0.0008133158322797,0.0040054157734401,-0.0008091251334494,0.0019216216172791,-0.0017078611324482,-0.0101136987929743,-0.0093228782946516,-0.0131666669396754,-0.0148611569891259,-0.0173566530185849,-0.0113410918244342,-0.0102536530373325,-0.0055128858888696,0.001328594561925
Baton Rouge,LA,229374.0,228643.0,228889.0,228346.0,227851.0,227202.0,226686.0,224414.0,222190.0,220236.0,226275.0,224115.0,221770.0,220773.0,220907.0,-0.0031869348749204,0.001075913104709,-0.0023723289454713,-0.0021677629562155,-0.0028483526515134,-0.0022711067684263,-0.0100226745365836,-0.0099102551534218,-0.0087942751698996,0.027420585190432,-0.0095459065296652,-0.0104633781763826,-0.0044956486449925,0.0006069582784126
Beaverton,OR,90100.0,91569.0,92558.0,93279.0,94714.0,95863.0,97738.0,97824.0,98775.0,99037.0,97558.0,98533.0,97036.0,97645.0,98302.0,0.0163041065482796,0.0108005984558092,0.007789710235744,0.015383955659902,0.0121312583145047,0.019559162554896,0.000879903415253,0.0097215407262021,0.0026524930397367,-0.0149338126154871,0.0099940548186719,-0.0151928795428942,0.0062760212704563,0.0067284551180295
Bellevue,WA,128357.0,130196.0,132074.0,133688.0,136275.0,139757.0,141758.0,145273.0,147064.0,148164.0,151786.0,149406.0,151398.0,152354.0,154377.0,0.0143272279657517,0.0144244062797628,0.012220421884701,0.0193510262701214,0.0255512749954136,0.0143177085942027,0.024795778721483,0.0123285125246948,0.0074797367132676,0.0244458842903809,-0.0156799704847614,0.0133327978796032,0.006314482357759,0.0132782860968533
Bend,OR,76663.0,77575.0,78617.0,80906.0,83526.0,86277.0,90665.0,94557.0,97620.0,100421.0,99687.0,102412.0,103208.0,104707.0,106926.0,0.0118962211236189,0.0134321624234611,0.0291158400854776,0.0323832595851976,0.0329358523094605,0.0508594411024954,0.0429272596922737,0.0323931596814619,0.0286928908010653,-0.0073092281494906,0.0273355603037507,0.0077725266570323,0.014524067901713,0.0211924704174506
Billings,MT,104509.0,105458.0,106765.0,108561.0,108434.0,109599.0,109620.0,109797.0,109444.0,109577.0,117233.0,117763.0,119952.0,120797.0,121483.0,0.0090805576553215,0.012393559521326,0.0168219922259167,-0.0011698492092003,0.0107438626261135,0.0001916075876604,0.0016146688560481,-0.0032150240899113,0.0012152333613537,0.0698686768208657,0.0045209113474874,0.0185881813472822,0.0070444844604508,0.005678948980521
Birmingham,AL,212328.0,212095.0,211287.0,211765.0,211651.0,212259.0,211977.0,211533.0,210487.0,209403.0,200270.0,197645.0,196898.0,196818.0,196357.0,-0.0010973588033608,-0.0038096136165397,0.0022623256518384,-0.0005383325856491,0.0028726535664844,-0.0013285655731912,-0.0020945668633861,-0.0049448549398911,-0.0051499617553578,-0.0436144658863531,-0.0131073051380636,-0.003779503655544,-0.0004063017399872,-0.0023422654432013
Bloomington,IN,80612.0,81497.0,82160.0,82457.0,83162.0,83596.0,84387.0,84837.0,85139.0,85755.0,80140.0,80437.0,80379.0,80262.0,79986.0,0.0109785143651069,0.0081352687828999,0.0036148977604673,0.0085499108626314,0.0052187297082802,0.0094621752236949,0.0053325749226776,0.003559767554251,0.0072352270992142,-0.0654772316483004,0.0037060144746693,-0.0007210612031776,-0.0014556040756914,-0.0034387381326156
