City,State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2001_yoy,2002_yoy,2003_yoy,2004_yoy,2005_yoy,2006_yoy,2007_yoy,2008_yoy,2009_yoy,2010_yoy,2011_yoy,2012_yoy,2013_yoy,2014_yoy,2015_yoy,2016_yoy,2017_yoy,2018_yoy,2019_yoy,2020_yoy,2021_yoy,2022_yoy,2023_yoy,2024_yoy,2025_yoy
Austin,TX,204986.41236061128,208314.9195368913,205420.403438084,205805.6844363309,213148.4494086192,218871.2466471049,226996.53770179985,237792.6600391759,233699.91353994704,228470.6805912809,223381.8248160653,220746.1427054164,237745.25261273023,270453.4136769802,302232.8412126568,331873.149671326,351831.6316849531,366578.9405273351,381741.1421026711,401674.2354175537,457912.23354393913,604861.3426423613,626027.9521361849,576766.3362230482,557247.9560066866,523950.5561507366,0.016237696625591578,-0.013894905392480556,0.0018755731748088878,0.03567814461684562,0.02684888046037222,0.03712361116028951,0.04756073571288861,-0.01721140803317731,-0.02237584460112476,-0.022273561588058797,-0.01179899981934134,0.07700750599297665,0.1375765055444837,0.11750425740099119,0.09807110418491444,0.06013888750383458,0.04191581288969331,0.041361354674452094,0.052216256296318986,0.14000897535268644,0.3209110793156427,0.03499415155439826,-0.07868916355099184,-0.03384105311030743,-0.059753292043569974
San Jose,CA,419867.5332212248,447710.8799903936,460954.0946357463,470612.9184035424,549523.0538932515,641225.0753033664,654784.4147372502,635556.9079360901,509457.9809337464,466624.0731558549,464787.2232647661,436716.965102691,536931.8416270384,633366.7956126006,701485.7417734154,796382.9903143807,773227.9358120104,852042.2922940144,1097576.3573837013,1015821.847899814,1115752.71205509,1295018.849662151,1349861.185028109,1439199.623836398,1563108.464598314,1498721.387791705,0.0663145982151908,0.029579836535660903,0.020953981926180015,0.1676752430795896,0.1668756583739773,0.021145990629684593,-0.029364637227774586,-0.19840698044151212,-0.08407741046550005,-0.003936466197866455,-0.06039378183613461,0.22947328483284948,0.17960371598253524,0.1075505483278914,0.13528036692671344,-0.029075275067376307,0.10192900803465735,0.2881712179199673,-0.07448639808419881,0.09837439937118958,0.16066834135394834,0.04234867730324196,0.06618342671022764,0.0860956594969215,-0.04119168839838312
Jacksonville,FL,99943.26439074228,107528.82124518452,116100.553268083,127014.89897165589,142749.53278891495,167275.47729499728,188829.31691391236,183054.32584519315,161328.82361612152,142851.22115628407,128034.59159307416,108990.23374178004,110039.71180826703,125387.97405473403,134009.76369842465,145168.73432594258,159561.35765217323,175033.7383785021,190462.3418288908,199180.30087537444,217892.5548042563,263636.72346504254,312795.7416993296,305628.87399724504,304338.58593187464,293132.4166257021,0.07589863009462487,0.07971566993516489,0.09400769760649658,0.12388022149094759,0.17181103172049658,0.12885235760471922,-0.030583127467182683,-0.11868335877210914,-0.11453379529875275,-0.10372070636344097,-0.1487438481611425,0.009629101897087556,0.13947930246500262,0.06876089759554656,0.08326983288046133,0.09914409871422702,0.09696821933576812,0.08814645446825278,0.045772612910092936,0.09394630817728294,0.20993910829987053,0.18646498707834755,-0.02291229306111713,-0.004221747927461971,-0.036821388493541184
Charlotte,NC,153601.19410095038,157151.81726517362,158257.9755847242,159057.62279392828,161403.0161701055,165927.57696940692,173856.8849400382,181315.7117541788,174418.40863516595,163369.30539037826,152471.6680429685,140721.8548195406,145904.5043473575,161606.085041485,170404.81494296066,184745.06673537949,202787.01432036192,223512.05340778135,242179.75799888824,255688.37092943717,284226.89368349226,350013.254905699,395001.3760629864,403495.0651168188,409248.5295443256,403512.00258414034,0.023115856520553417,0.007038787961860253,0.005052808278695553,0.014745557836079622,0.0280326905076725,0.047787764490126075,0.04290210776934769,-0.038040294755944615,-0.06334826312914767,-0.06670553762452115,-0.07706227244865348,0.03682903081730292,0.10761546234889685,0.05444553587952449,0.0841540293167122,0.09765861629650394,0.10220101694814696,0.08351990108134807,0.05577928164669709,0.11161447292388176,0.2314572008638448,0.1285326213414636,0.021502935353010125,0.014259070122310062,-0.014017220701006677
Indianapolis,IN,,,,81702.39433497733,83995.86801701278,90962.45032060635,93078.70845078828,92722.23229533492,90806.96019545192,91296.54017458086,87735.84600813156,83580.40694619523,86198.91125510569,89390.7346939579,98448.7901394512,103477.66850328032,112431.67210302544,123313.00062169858,136650.40811226072,146973.6753355265,165623.9959609313,195518.99094449845,218864.30268625385,221225.75939976648,228811.33017270887,230716.6248209884,,,,0.028071070630222565,0.08293958343501544,0.02326518385029168,-0.003829835645407933,-0.020656018006367245,0.0053914367144895035,-0.03900141406936567,-0.047363070523662475,0.03132916438892331,0.03702858182751298,0.10133103253379518,0.05108115962324973,0.08653078223792093,0.09678170141152183,0.10815897288460956,0.07554508885758346,0.12689565381574588,0.18049917712780597,0.1194017605603457,0.01078959284145035,0.03428882239357518,0.008326924400296915
Fort Worth,TX,103822.06548076164,103148.91028687418,107942.08315666136,111435.00859289792,120493.2062988546,123482.88218264752,127800.5521425464,129198.37144723376,119639.65907169683,118843.5819621386,115518.41711166508,110936.71989040426,114447.491161456,124175.62359800132,134179.88146428776,149764.33270113802,166774.50378951943,186235.0955327048,201173.14371853508,210549.6202568641,228246.2663928188,276921.62431749003,317123.81326238165,306855.9739509723,304382.7961691572,294318.489977444,-0.006483739181746469,0.04646847801354936,0.032359255390384825,0.08128682198113077,0.02481198712878257,0.034965736817775865,0.010937505990805594,-0.07398477448642472,-0.006653956687398814,-0.027979338855108365,-0.03966204987757024,0.03164661146029981,0.08500083608492058,0.08056539259809656,0.11614596068187834,0.11357958721938173,0.11668805063720025,0.08021070434174417,0.04660898748715585,0.0840497651544816,0.21325806854995583,0.14517533271002303,-0.03237801414463296,-0.008059734832505711,-0.03306463544713637
Orlando,FL,131152.94182571824,142198.32097914317,153741.36222689363,167451.9416793613,191402.9703309479,249111.32328934027,287194.3715560257,258299.24016248283,195187.37667164044,153957.3403266044,138986.39382510856,128455.47731128472,138861.97246354513,166891.18617522903,182948.2233817769,198263.5056791044,216801.1726403797,236206.65357340104,255288.7552782717,266069.84167844214,287275.7287702719,338126.4209841537,398984.4218851126,411514.5465776651,415733.15994077775,399022.68191152695,0.0842175478465631,0.08117565079719559,0.08917951066566857,0.14303225397916414,0.3015018672835169,0.15287562108307837,-0.10061176072841671,-0.24433623363019558,-0.21123310865741304,-0.09724087510044369,-0.07576940608355712,0.08101246727722218,0.2018494567981331,0.09621261358696688,0.08371375252640485,0.09350014717927509,0.08950819175323517,0.08078562316594914,0.042230948983314025,0.07970045367809118,0.17701005383070842,0.1799859375786875,0.0314050474285448,0.010251431931620657,-0.040195201247914064
San Francisco,CA,494157.9253597685,539723.2923923578,576772.9705259068,614901.2027318627,730927.5763015783,822499.6423701559,809358.6246700125,828794.454510069,746855.3326208754,681334.833809486,674694.2498729959,629383.4814002252,744081.3841192089,867811.1792825336,1003358.2068168018,1179143.7373277305,1184889.281552642,1311820.5133679195,1396393.3799632862,1406434.5480690598,1449915.9439247935,1556445.7504766437,1451064.862778604,1366676.3868989395,1395323.823070072,1396085.6252968262,0.0922081073563998,0.06864569058956838,0.06610613561032555,0.18869108249298835,0.12528199651725172,-0.015976928162881116,0.024013866347542486,-0.09886543212651053,-0.08772850102236529,-0.009746432454306234,-0.06715748426980069,0.18223850181737972,0.16628529863005145,0.15619414772500656,0.1751971821395831,0.0048726410894844585,0.10712497259571027,0.06446984609063437,0.007190787531546181,0.030916046477548986,0.07347309131830322,-0.06770611032589344,-0.05815623963085383,0.02096138957674914,0.0005459680499670513
Tucson,AZ,120757.18385596022,127911.59118211198,136923.84060890725,147717.26583982454,167087.58196457708,218352.925668396,227478.4259735313,216841.6301873454,185913.512218985,165537.13553603963,150363.38710790884,129634.91225742565,146766.7972580553,161986.37138581768,167442.46511559302,173285.2221475607,182018.71769965647,196622.5441790549,208914.96006246816,224714.9095750333,252053.0478029028,309400.0971213353,335423.5384066669,339316.705232281,341371.9368864207,331246.561495203,0.05924622533998123,0.07045686277144526,0.07882794685657647,0.1311310225966172,0.3068171979093412,0.04179243432256015,-0.046759580565339215,-0.14262998272812893,-0.10960137560600933,-0.09166371267084816,-0.1378558653750419,0.13215487018350122,0.10369902738289159,0.03368242453422249,0.03489411737897058,0.05039954038699715,0.08023255335473668,0.06251783555510872,0.07562861705949994,0.12165698430767083,0.22751976148797057,0.084109350732124,0.011606719206730341,0.006056971621048783,-0.029660831184804046
Columbus,OH,100037.51079179673,104344.59523676526,108239.5583858969,113117.28043412098,116727.72979568236,120181.56137439836,120992.09818147628,118342.37455823355,113829.8706844833,108289.33236613288,103747.35096810374,94838.1586039054,91837.35515431334,100638.72433888,106010.47743429232,115724.2736237084,127310.54020949278,140193.4131657202,153858.22371427066,168236.81287166473,190878.0531206307,213568.34492146628,240794.22977225468,252978.3136078053,263650.15198089153,264043.0776015069,0.043054694292950446,0.037327885936915974,0.045064134785491004,0.03191775251053782,0.029588783957004098,0.006744269235718106,-0.02189997250290179,-0.03813092217048381,-0.04867385234678728,-0.0419430178281312,-0.08587392623583615,-0.03164130866484882,0.09583648363759839,0.05337660160838346,0.09163052959021822,0.10011958790476873,0.10119250876658227,0.09747113106089737,0.09345349770901087,0.134579583757553,0.11887323571189096,0.12748090013433377,0.050599567303063815,0.042184795292891764,0.001490329581315181
