City,State,2017,2018,2019,2020,2021,2022,2023,2024,2025
Jacksonville,FL,0.04884105850204201,0.04955125975246921,0.01595855157411319,0.04257537162014979,0.2711942773448399,-0.00751960804478069,-0.043406728718892396,-0.029501325139471013,0.004267276431680456
Fort Worth,TX,0.010077317290496213,0.019316466701340795,0.007311244986688559,0.008358656913064255,0.14619009867035748,0.044556092300418015,-0.026094673291783943,-0.032165389607501815,0.017015412992152035
Columbus,OH,0.026534348118227635,0.02385552106251465,0.00039175184602990853,0.03397779992252592,0.11208121233690749,0.05567920561530215,0.0014852452874030142,0.00431784883591968,0.022494497874095076
Indianapolis,IN,0.031045227685516874,0.039908879892440074,0.03752155577239602,0.022800308911156142,0.13847051185663073,0.07428990537877,0.024283879484298332,0.0056145824029534275,0.015685853466570032
Charlotte,NC,0.014034312735885957,0.03606141632476456,0.024352079389215797,-0.011445160771173857,0.19827122656124807,0.05390697846625403,-0.025208823263269453,-0.029439401971516066,0.0006287146047367909
San Francisco,CA,-0.012090659913583157,0.06423811641813182,-0.019690928797102214,-0.26215707776565156,0.16228689882796243,0.03043325967332433,-0.04543378519411634,0.043701316479428876,0.12510001292065542
Seattle,WA,0.01225227641306037,0.021931834371873737,0.04846203660168391,-0.1829116668920121,0.2287993638228345,0.004462093959830327,-0.00641287736131213,0.013316333984396689,0.05476759949603638
Denver,CO,0.02776089485681088,0.05345825618446254,0.00937809835137271,-0.04340535142808877,0.17321033556211018,0.01495163990420334,-0.003459903051659663,-0.0494085795491227,-0.015452087673487935
Nashville,TN,-0.020407753269036877,0.018768595927981524,0.04247803796639027,-0.03447192691284062,0.21447231432532,0.032038591462314914,-0.03871717859281909,-0.013453225879441644,0.0005384385660582858
El Paso,TX,0.014161164882236843,0.0012355494828473201,0.03163272101344128,0.034139259700294744,0.16220307873756634,0.05271835482844622,0.027933881056190213,0.04859478601179745,0.010537381836195348
Washington,DC,0.0049673379067025625,0.023749244718176632,0.019129756137871157,-0.11568598429795318,0.12866015810593723,0.020223219662154124,0.0070432659168200296,0.020510021709694293,-0.00325784115468708
Boston,MA,0.03376654076971608,0.032357358611244225,0.04448978489738553,-0.18779202255095973,0.2541712370755773,0.018602195882512662,0.03684969482710465,0.000351643068624119,0.05115985015470703
Portland,OR,-0.027042963659913877,-0.012459009362397633,0.030633801666503313,-0.06527724879607777,0.09793588035942391,0.027480829257676476,-0.050599063567003055,0.005536530252829186,0.007348457539562148
Las Vegas,NV,0.06310487702373191,0.0814146819280035,0.04913895671276669,0.05648347042344648,0.2693273967591212,-0.036685471248977586,-0.021518511301780285,0.0021094073492911036,-0.014593649630548211
Memphis,TN,0.007792595604886765,0.0554083260501943,0.019293754020109466,0.06835727286290538,0.14606916186532204,0.006270198020046136,0.005998655875111059,-0.015634899340344455,0.0018574023171220588
Louisville,KY,-0.04745987714352273,0.0508527795289242,0.023817255693330264,0.009945410155113299,0.0766100784719328,0.057857731915973876,0.04080698664828186,0.039102294564797635,0.007105926461635326
Baltimore,MD,0.014852356284550394,-0.024261444043055302,0.014217331018328005,-0.005379778571270699,0.1598723870421237,-0.00031987396135546575,0.0077883669105736075,0.02921990931703622,0.020628288756332935
Albuquerque,NM,0.01917288902868286,0.04768136301184467,0.07097312647284038,0.0694052144524211,0.1941645820279736,0.09283700282743479,-0.003985944864465796,0.028122280556204027,0.013741793345841913
Tucson,AZ,0.07347092745390871,0.05482924366108044,0.05284859074167869,0.07365818903745414,0.23369800316887446,0.04141387189688417,0.0077974248750467545,-0.020145020279631165,-0.030464941619870345
Sacramento,CA,0.05291680580516078,0.06353873160474444,0.03922904694961993,0.05136006083420841,0.16136388039949878,-0.01752575383856081,-0.020540775052441673,0.01590944419953999,0.007148021756134604
Kansas City,MO,0.033631085658989646,0.017342689444217907,0.0007480828881611945,0.014611839432657536,0.09142429823079312,0.059855530746365515,0.012206623516890724,0.020130449474748957,0.022670401084974756
Mesa,AZ,0.05825063816400333,0.08704507184726373,0.09037573226059736,0.07377063334069289,0.30014563864747523,-0.024243561025464766,-0.041069023769771174,-0.0227457481901312,-0.029014384215932054
Atlanta,GA,0.028037523260127983,0.028351658714034444,0.011332321504602394,-0.00904465343128491,0.18564303386755965,-0.01355609952625203,-0.05421707286344035,-0.022570237541552296,0.016124872320923522
Omaha,NE,0.0283876161912322,0.03268144831206743,0.027513358245971675,0.01262089659848753,0.09497466264486087,0.0866606091916089,0.025169858615532448,0.02106900136922807,0.030119163321215225
Colorado Springs,CO,0.0641269046573294,0.03141073119915849,0.05844160835433976,0.048963614762297825,0.14973875268667225,0.03922786989388727,-0.032126447463283636,-0.03230196746905911,-0.0408986340937566
Raleigh,NC,0.0016709173295639257,0.03403856061752264,0.031033666682545036,0.020285749901996386,0.21095849034519198,0.04939407587590727,-0.037260745190062394,-0.045449362818081984,0.0037738097583324137
Long Beach,CA,0.054107037342914444,0.02496186163392866,0.014960478055307647,-0.021216346373350237,0.16527326092948846,0.017392086431877285,-0.03157058065125673,-0.0014634519747140917,0.00928902863557135
Virginia Beach,VA,0.03854638839902047,0.0401987583091985,0.026237035871196523,0.06613960525609897,0.17933798500769216,-0.003571692125518,0.02312812891366378,0.03272560793972379,0.038024467085561175
Miami,FL,-0.022901376085790792,0.028296824999244796,0.019524656835761656,-0.03773326919973341,0.2959628288623246,0.07941353449954658,-0.01991339177098994,0.008126796964200711,0.004744583939970681
Oakland,CA,0.07126558057628873,0.03345611589910269,0.0036667605621358845,-0.10876203349082869,-0.006846093316052904,-0.02693566499731659,-0.09391684676750145,-0.030129630930902374,0.042609771665413465
Minneapolis,MN,0.029177387089010187,0.010413224460620762,0.024745746113803424,-0.1178489655823085,0.06877771616988904,0.013546458742279777,-0.0055492888827632925,-0.005521936512849823,0.056805851093364446
Tulsa,OK,0.02750528482741932,0.008994922913637682,0.05798158922246022,0.06375531955317659,0.10006077630462218,0.08006748288353638,0.014408339433263473,0.041388654201998776,0.013327666759108014
Arlington,TX,0.06279933862482223,0.026443311524859903,0.029564078553153683,0.04974892863451452,0.14409604819741917,0.059019954674426334,-0.0011517699692169536,-0.020570866743129024,-0.020396460847213915
Tampa,FL,0.05169065734349276,0.03181567939342944,0.02585776350178759,0.03196059069361157,0.3295446679856948,0.004847794120319993,-0.003404661498364603,-0.012731134737352545,-0.004199157169456735
Aurora,CO,0.029080589057912443,0.04891044105068043,0.01727019886217218,0.0019912997318589643,0.1890321974803586,0.03314154833667882,0.01892314306588272,-0.0674850076536776,-0.04093845932643936
New Orleans,LA,-0.011724885862081869,-0.003470853441707833,0.027144966920015,-0.014539731845466752,0.11015294688430832,-0.03786033420164703,-0.008656343499274022,0.035908479672828175,-0.05165139897559157
Cleveland,OH,0.005703581757117604,0.09915904971337408,-0.06673035701233188,0.025604159256672254,0.02967852276377525,0.01166918139285622,-0.02188404668333599,0.05824226654562015,-0.018426461924622717
